0,1,0.5488135023,0,Difference:,IGG:,IPG,Std Deviation:
1,106,35.37770146,26,1.215472968,,,
1,110,36.86714351,27,1.489442048,,,
1,114,38.14092624,28,1.273782729,,,
1,118,39.39448281,29,1.253556572,,,
1,122,40.62521084,30,1.230728035,,,
1,126,41.97403633,31,1.348825483,,,
1,130,43.23494457,32,1.260908242,,,
1,134,44.51897804,33,1.284033471,,,
1,138,45.7208749,34,1.201896857,,,
1,142,47.01701299,35,1.296138094,,,
1,146,48.31171266,36,1.294699668,,,
1,150,49.60766746,37,1.295954798,,,
1,154,51.09545896,38,1.487791502,,,
1,158,52.40997285,39,1.314513895,,,
1,162,53.6545247,40,1.24455185,,,
1,166,54.91197794,41,1.257453241,,,
1,174,58.23158872,42,3.31961078,,,
1,178,59.54147997,43,1.309891247,,,
1,182,60.85253972,44,1.311059745,,,
1,186,62.07616039,45,1.223620671,,,
1,190,63.28996326,46,1.213802869,,,
1,194,64.52785945,47,1.237896196,,,
1,198,65.77306966,48,1.245210206,,,
1,204,68.05751244,49,2.284442779,,,
1,208,69.35809954,50,1.300587101,,,
1,212,70.8773942,51,1.519294664,,,
1,216,72.18317684,52,1.305782641,,,
1,220,73.48397877,53,1.300801925,,,
1,224,75.2199888,54,1.736010035,,,
1,228,76.50718039,55,1.287191585,,,
1,232,77.76068686,56,1.253506468,,,
1,236,79.02506496,57,1.2643781,,,
1,240,80.32275136,58,1.297686407,,,
1,244,81.56400149,59,1.241250123,,,
1,248,82.87631832,60,1.31231683,,,
1,252,84.1144739,61,1.238155584,,,
1,256,85.46513743,62,1.350663533,,,
1,260,86.96385642,63,1.498718989,,,
1,264,88.27248336,64,1.308626938,,,
1,270,90.47384982,65,2.201366458,,,
1,274,91.85583171,66,1.381981892,,,
1,278,93.06593519,67,1.210103478,,,
1,282,94.64083833,68,1.574903146,,,
1,286,95.90407199,69,1.26323366,,,
1,292,98.48026472,70,2.576192728,,,
1,296,99.74025941,71,1.259994689,,,
1,302,101.9422784,72,2.202019013,,,
1,306,103.1755194,73,1.233241024,,,
1,310,104.3883251,74,1.212805677,,,
1,314,105.6234427,75,1.235117609,,,
1,318,106.8360816,76,1.212638864,,,
1,322,108.0743517,77,1.238270095,,,
1,326,109.3278401,78,1.253488438,,,
1,330,110.5344699,79,1.20662974,,,
1,334,111.8523888,80,1.317918953,,,
1,338,113.1359986,81,1.283609753,,,
1,342,114.3668401,82,1.230841484,,,
1,346,115.640916,83,1.274075895,,,
1,350,116.850781,84,1.209865031,,,
1,356,119.1365705,85,2.285789564,,,
1,360,120.3691046,86,1.232534042,,,
1,364,121.5700447,87,1.200940075,,,
1,368,122.9547774,88,1.384732765,,,
1,372,124.2589555,89,1.304178065,,,
1,376,125.6430837,90,1.384128247,,,
1,380,126.8738355,91,1.230751772,,,
1,384,128.1245555,92,1.250720012,,,
1,390,130.4050353,93,2.28047974,,,
1,394,131.7816094,94,1.376574107,,,
1,398,132.98208,95,1.200470654,,,
1,402,134.2953434,96,1.313263414,,,
1,406,135.5268156,97,1.231472166,,,
1,410,136.8596914,98,1.332875787,,,
1,414,138.3872057,99,1.527514318,,,
1,418,139.6158078,100,1.228602097,,,
1,422,140.9016471,101,1.285839297,,,
1,426,142.1913062,102,1.289659087,,,
1,430,143.4762283,103,1.284922081,,,
1,434,144.7014703,104,1.225241999,,,
1,438,146.2066984,105,1.505228166,,,
1,442,147.4659608,106,1.259262403,,,
1,446,148.8533068,107,1.387345988,,,
1,450,150.1735307,108,1.320223857,,,
1,454,151.4088327,109,1.235302013,,,
1,458,152.7769249,110,1.36809222,,,
1,462,154.0274268,111,1.250501875,,,
1,466,155.4403767,112,1.41294994,,,
1,470,156.7274303,113,1.287053583,,,
1,474,158.1409134,114,1.413483045,,,
1,478,159.4588517,115,1.317938293,,,
1,482,160.7880426,116,1.329190927,,,
1,486,162.0576225,117,1.269579946,,,
1,490,163.5701694,118,1.512546836,,,
1,494,164.8734491,119,1.303279701,,,
1,498,166.1285887,120,1.255139599,,,
1,502,167.421829,121,1.293240288,,,
1,506,168.6237669,122,1.201937978,,,
1,510,169.8596597,123,1.235892722,,,
1,514,171.1675917,124,1.30793202,,,
1,518,172.4018516,125,1.234259962,,,
1,522,173.6980891,126,1.296237506,,,
1,526,174.9540853,127,1.255996107,,,
1,530,176.1686426,128,1.214557398,,,
1,536,178.4040651,129,2.235422413,,,
1,540,179.6477679,130,1.243702801,,,
1,544,180.9280231,131,1.280255199,,,
1,548,182.1314434,132,1.203420342,,,
1,552,183.678697,133,1.547253548,,,
1,556,184.91741,134,1.238713009,,,
1,560,186.1424181,135,1.225008149,,,
1,564,187.3576475,136,1.215229363,,,
1,568,188.5678795,137,1.210232061,,,
1,572,190.1816605,138,1.613780976,,,
1,576,191.4118171,139,1.230156591,,,
1,580,192.6888248,140,1.277007686,,,
1,584,193.9482321,141,1.25940735,,,
1,588,195.1587203,142,1.210488184,,,
1,592,196.4021549,143,1.243434566,,,
1,596,197.6655011,144,1.263346262,,,
1,600,199.0494744,145,1.383973279,,,
2,3,0.7744065781,0,,,,
2,7,2.066728891,0,,,,
2,11,3.345449005,0,,,,
2,15,4.600553854,0,,,,
2,19,5.904369784,0,,,,
2,23,7.161921704,0,,,,
2,27,8.584274146,0,,,,
2,33,10.81610976,0,,,,
2,37,12.08105439,0,,,,
2,41,13.44827551,0,,,,
2,45,14.71366377,0,,,,
2,49,15.96355097,0,,,,
2,53,17.3443879,0,,,,
2,59,19.553504,0,,,,
2,63,20.75554656,0,,,,
2,67,22.13429533,0,,,,
2,71,23.48487375,0,,,,
2,75,24.88890518,0,,,,
2,79,26.47342737,0,,,,
2,83,27.83395132,0,,,,
2,87,29.09584427,0,,,,
2,91,30.44749786,0,,,,
2,95,31.66008531,0,,,,
2,99,32.96222849,0,,,,
2,103,34.17770146,0,,,,
2,107,35.66714351,0,,,,
2,111,36.94092624,0,,,,
2,115,38.19448281,0,,,,
2,119,39.42521084,0,,,,
2,123,40.77403633,0,,,,
2,127,42.03494457,0,,,,
2,131,43.31897804,0,,,,
2,135,44.5208749,0,,,,
2,139,45.81701299,0,,,,
2,143,47.11171266,0,,,,
2,147,48.40766746,0,,,,
2,151,49.89545896,0,,,,
2,155,51.20997285,0,,,,
2,159,52.4545247,0,,,,
2,163,53.71197794,0,,,,
2,167,55.03158872,0,,,,
2,175,58.34147997,0,,,,
2,179,59.65253972,0,,,,
2,183,60.87616039,0,,,,
2,187,62.08996326,0,,,,
2,191,63.32785945,0,,,,
2,195,64.57306966,0,,,,
2,199,65.85751244,0,,,,
2,205,68.15809954,0,,,,
2,209,69.6773942,0,,,,
2,213,70.98317684,0,,,,
2,217,72.28397877,0,,,,
2,221,74.0199888,0,,,,
2,225,75.30718039,0,,,,
2,229,76.56068686,0,,,,
2,233,77.82506496,0,,,,
2,237,79.12275136,0,,,,
2,241,80.36400149,0,,,,
2,245,81.67631832,0,,,,
2,249,82.9144739,0,,,,
2,253,84.26513743,0,,,,
2,257,85.76385642,0,,,,
2,261,87.07248336,0,,,,
2,265,88.27384982,0,,,,
2,271,90.65583171,0,,,,
2,275,91.86593519,0,,,,
2,279,93.44083833,0,,,,
2,283,94.70407199,0,,,,
2,287,96.28026472,0,,,,
2,293,98.54025941,0,,,,
2,297,99.74227842,0,,,,
2,303,101.9755194,0,,,,
2,307,103.1883251,0,,,,
2,311,104.4234427,0,,,,
2,315,105.6360816,0,,,,
2,319,106.8743517,0,,,,
2,323,108.1278401,0,,,,
2,327,109.3344699,0,,,,
2,331,110.6523888,0,,,,
2,335,111.9359986,0,,,,
2,339,113.1668401,0,,,,
2,343,114.440916,0,,,,
2,347,115.650781,0,,,,
2,351,116.9365705,0,,,,
2,357,119.1691046,0,,,,
2,361,120.3700447,0,,,,
2,365,121.7547774,0,,,,
2,369,123.0589555,0,,,,
2,373,124.4430837,0,,,,
2,377,125.6738355,0,,,,
2,381,126.9245555,0,,,,
2,385,128.2050353,0,,,,
2,391,130.5816094,0,,,,
2,395,131.78208,0,,,,
2,399,133.0953434,0,,,,
2,403,134.3268156,0,,,,
2,407,135.6596914,0,,,,
2,411,137.1872057,0,,,,
2,415,138.4158078,0,,,,
2,419,139.7016471,0,,,,
2,423,140.9913062,0,,,,
2,427,142.2762283,0,,,,
2,431,143.5014703,0,,,,
2,435,145.0066984,0,,,,
2,439,146.2659608,0,,,,
2,443,147.6533068,0,,,,
2,447,148.9735307,0,,,,
2,451,150.2088327,0,,,,
2,455,151.5769249,0,,,,
2,459,152.8274268,0,,,,
2,463,154.2403767,0,,,,
2,467,155.5274303,0,,,,
2,471,156.9409134,0,,,,
2,475,158.2588517,0,,,,
2,479,159.5880426,0,,,,
2,483,160.8576225,0,,,,
2,487,162.3701694,0,,,,
2,491,163.6734491,0,,,,
2,495,164.9285887,0,,,,
2,499,166.221829,0,,,,
2,503,167.4237669,0,,,,
2,507,168.6596597,0,,,,
2,511,169.9675917,0,,,,
2,515,171.2018516,0,,,,
2,519,172.4980891,0,,,,
2,523,173.7540853,0,,,,
2,527,174.9686426,0,,,,
2,531,176.2040651,0,,,,
2,537,178.4477679,0,,,,
2,541,179.7280231,0,,,,
2,545,180.9314434,0,,,,
2,549,182.478697,0,,,,
2,553,183.71741,0,,,,
2,557,184.9424181,0,,,,
2,561,186.1576475,0,,,,
2,565,187.3678795,0,,,,
2,569,188.9816605,0,,,,
2,573,190.2118171,0,,,,
2,577,191.4888248,0,,,,
2,581,192.7482321,0,,,,
2,585,193.9587203,0,,,,
2,589,195.2021549,0,,,,
2,593,196.4655011,0,,,,
2,597,197.8494744,0,,,,
2,601,199.2844922,0,,,,
3,4,0.8744065781,1,,,,
3,8,2.166728891,2,,,,
3,12,3.445449005,3,,,,
3,16,4.700553854,4,,,,
3,20,6.004369784,5,,,,
3,24,7.261921704,6,,,,
3,28,8.684274146,7,,,,
3,34,10.91610976,8,,,,
3,38,12.18105439,9,,,,
3,42,13.54827551,10,,,,
3,46,14.81366377,11,,,,
3,50,16.06355097,12,,,,
3,54,17.4443879,13,,,,
3,60,19.653504,14,,,,
3,64,20.85554656,15,,,,
3,68,22.23429533,16,,,,
3,72,23.58487375,17,,,,
3,76,24.98890518,18,,,,
3,80,26.57342737,19,,,,
3,84,27.93395132,20,,,,
3,88,29.19584427,21,,,,
3,92,30.54749786,22,,,,
3,96,31.76008531,23,,,,
3,100,33.06222849,24,,,,
3,104,34.27770146,25,,,,
3,108,35.76714351,26,,,,
3,112,37.04092624,27,,,,
3,116,38.29448281,28,,,,
3,120,39.52521084,29,,,,
3,124,40.87403633,30,,,,
3,128,42.13494457,31,,,,
3,132,43.41897804,32,,,,
3,136,44.6208749,33,,,,
3,140,45.91701299,34,,,,
3,144,47.21171266,35,,,,
3,148,48.50766746,36,,,,
3,152,49.99545896,37,,,,
3,156,51.30997285,38,,,,
3,160,52.5545247,39,,,,
3,164,53.81197794,40,,,,
3,168,55.13158872,41,,,,
3,176,58.44147997,42,,,,
3,180,59.75253972,43,,,,
3,184,60.97616039,44,,,,
3,188,62.18996326,45,,,,
3,192,63.42785945,46,,,,
3,196,64.67306966,47,,,,
3,200,65.95751244,48,,,,
3,206,68.25809954,49,,,,
3,210,69.7773942,50,,,,
3,214,71.08317684,51,,,,
3,218,72.38397877,52,,,,
3,222,74.1199888,53,,,,
3,226,75.40718039,54,,,,
3,230,76.66068686,55,,,,
3,234,77.92506496,56,,,,
3,238,79.22275136,57,,,,
3,242,80.46400149,58,,,,
3,246,81.77631832,59,,,,
3,250,83.0144739,60,,,,
3,254,84.36513743,61,,,,
3,258,85.86385642,62,,,,
3,262,87.17248336,63,,,,
3,266,88.37384982,64,,,,
3,272,90.75583171,65,,,,
3,276,91.96593519,66,,,,
3,280,93.54083833,67,,,,
3,284,94.80407199,68,,,,
3,288,96.38026472,69,,,,
3,294,98.64025941,70,,,,
3,298,99.84227842,71,,,,
3,304,102.0755194,72,,,,
3,308,103.2883251,73,,,,
3,312,104.5234427,74,,,,
3,316,105.7360816,75,,,,
3,320,106.9743517,76,,,,
3,324,108.2278401,77,,,,
3,328,109.4344699,78,,,,
3,332,110.7523888,79,,,,
3,336,112.0359986,80,,,,
3,340,113.2668401,81,,,,
3,344,114.540916,82,,,,
3,348,115.750781,83,,,,
3,352,117.0365705,84,,,,
3,358,119.2691046,85,,,,
3,362,120.4700447,86,,,,
3,366,121.8547774,87,,,,
3,370,123.1589555,88,,,,
3,374,124.5430837,89,,,,
3,378,125.7738355,90,,,,
3,382,127.0245555,91,,,,
3,386,128.3050353,92,,,,
3,392,130.6816094,93,,,,
3,396,131.88208,94,,,,
3,400,133.1953434,95,,,,
3,404,134.4268156,96,,,,
3,408,135.7596914,97,,,,
3,412,137.2872057,98,,,,
3,416,138.5158078,99,,,,
3,420,139.8016471,100,,,,
3,424,141.0913062,101,,,,
3,428,142.3762283,102,,,,
3,432,143.6014703,103,,,,
3,436,145.1066984,104,,,,
3,440,146.3659608,105,,,,
3,444,147.7533068,106,,,,
3,448,149.0735307,107,,,,
3,452,150.3088327,108,,,,
3,456,151.6769249,109,,,,
3,460,152.9274268,110,,,,
3,464,154.3403767,111,,,,
3,468,155.6274303,112,,,,
3,472,157.0409134,113,,,,
3,476,158.3588517,114,,,,
3,480,159.6880426,115,,,,
3,484,160.9576225,116,,,,
3,488,162.4701694,117,,,,
3,492,163.7734491,118,,,,
3,496,165.0285887,119,,,,
3,500,166.321829,120,,,,
3,504,167.5237669,121,,,,
3,508,168.7596597,122,,,,
3,512,170.0675917,123,,,,
3,516,171.3018516,124,,,,
3,520,172.5980891,125,,,,
3,524,173.8540853,126,,,,
3,528,175.0686426,127,,,,
3,532,176.3040651,128,,,,
3,538,178.5477679,129,,,,
3,542,179.8280231,130,,,,
