0,1,0.5488135023,0,Differrence:,IGG:,IPG:,Std div:
2,351,151.759738,0,,,,
2,357,153.992272,0,,,,
2,367,158.2064051,0,,,,
2,375,161.4405705,0,,,,
2,393,169.6867436,0,,,,
2,413,178.943534,0,,,,
2,419,181.2293733,0,,,,
2,427,184.5142954,0,,,,
2,435,188.0195236,0,,,,
2,445,192.6038242,0,,,,
2,455,196.9719164,0,,,,
3,8,2.841135815,1,,,,
3,12,4.119855929,2,,,,
3,16,5.374960778,3,,,,
3,30,11.58079925,4,,,,
3,34,12.81263486,5,,,,
3,42,16.17985598,6,,,,
3,54,21.56069291,7,,,,
3,70,29.0757099,8,,,,
3,74,30.29083298,9,,,,
3,78,31.69492221,10,,,,
3,82,32.95909312,11,,,,
3,86,34.32049333,12,,,,
3,94,37.63408722,13,,,,
3,110,44.97622369,14,,,,
3,126,52.30975271,15,,,,
3,154,65.74264405,16,,,,
3,168,72.06225483,17,,,,
3,176,75.37214607,18,,,,
3,192,82.61004227,19,,,,
3,210,91.12933694,20,,,,
3,224,97.43521121,21,,,,
3,256,112.6570993,22,,,,
3,260,113.9031007,23,,,,
3,266,116.1044671,24,,,,
3,274,119.4164486,25,,,,
3,280,121.9913517,26,,,,
3,284,123.2545854,27,,,,
3,290,125.4603181,28,,,,
3,308,133.6731237,29,,,,
3,324,140.9266122,30,,,,
3,328,142.1332419,31,,,,
3,340,147.3640834,32,,,,
3,348,150.5739484,33,,,,
3,352,151.859738,34,,,,
3,358,154.092272,35,,,,
3,368,158.3064051,36,,,,
3,376,161.5405705,37,,,,
3,394,169.7867436,38,,,,
3,414,179.043534,39,,,,
3,420,181.3293733,40,,,,
3,428,184.6142954,41,,,,
3,436,188.1195236,42,,,,
3,446,192.7038242,43,,,,
3,456,197.0719164,44,,,,
